                                         s                                         | ind 
 5316729486471953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316729486721953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316729486741953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316748926241953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316748926241957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316748926271953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316748926271954   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316748926421953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316748926421957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316748926471953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316748926721953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316748926721954   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316748926741953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316749286241953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316749286241957   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316749286271953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316749286271954   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
 5316749286421953   98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  17
